X,Y,OBJECTID,PID,SSL,PMPROPERTYID,PROPERTYNAME,PMPARENTPROPERTYID,PARENTPROPERTYNAME,REPORTINGYEAR,REPORTSTATUS,ADDRESSOFRECORD,OWNEROFRECORD,WARD,REPORTEDADDRESS,CITY,STATE,POSTALCODE,YEARBUILT,PRIMARYPROPERTYTYPE_SELFSELECT,PRIMARYPROPERTYTYPE_EPACALC,TAXRECORDFLOORAREA,REPORTEDBUILDINGGROSSFLOORAREA,ENERGYSTARSCORE,SITEEUI_KBTU_FT,WEATHERNORMALZEDSITEEUI_KBTUFT,SOURCEEUI_KBTU_FT,WEATHERNORMALZEDSOUREUI_KBTUFT,TOTGHGEMISSIONS_METRICTONSCO2E,TOTGHGEMISSINTENSITY_KGCO2EFT,WATERSCORE_MFPROPERTIES,WATERUSE_ALLWATERSOURCES_KGAL,NATURALGASUSE_THERMS,FUELOILANDDIESELFUELUSEKBTU,METEREDAREAS_ENERGY,METEREDAREAS_WATER,DISTRCHILLEDWATER_KBTU,DISTRHOTWATER_KBTU,DISTRSTEAM_KBTU,ELECTRICITYUSE_RENEWABLE_KWH,ELECTRICITYUSE_GRID_KWH,NATURALGAS_KBTU_JANUARY,NATURALGAS_KBTU_FEBRUARY,NATURALGAS_KBTU_MARCH,NATURALGAS_KBTU_APRIL,NATURALGAS_KBTU_MAY,NATURALGAS_KBTU_JUNE,NATURALGAS_KBTU_JULY,NATURALGAS_KBTU_AUGUST,NATURALGAS_KBTU_SEPTEMBER,NATURALGAS_KBTU_OCTOBER,NATURALGAS_KBTU_NOVEMBER,NATURALGAS_KBTU_DECEMBER,ELECTRICITYUSE_KBTU_JANUARY,ELECTRICITYUSE_KBTU_FEBRUARY,ELECTRICITYUSE_KBTU_MARCH,ELECTRICITYUSE_KBTU_APRIL,ELECTRICITYUSE_KBTU_MAY,ELECTRICITYUSE_KBTU_JUNE,ELECTRICITYUSE_KBTU_JULY,ELECTRICITYUSE_KBTU_AUGUST,ELECTRICITYUSE_KBTU_SEPTEMBER,ELECTRICITYUSE_KBTU_OCTOBER,ELECTRICITYUSE_KBTU_NOVEMBER,ELECTRICITYUSE_KBTU_DECEMBER,LATITUDE,LONGITUDE,ADDRESSID,XCOORD,YCOORD,GIS_LAST_MOD_DTTM,LASTUPDATE,UBID
-77.0393683164059,38.918617940757,446717,PM10362427,2562    0824,10362427,CubeSmart - #106,,,2019,In Compliance,1701 FLORIDA AVENUE NW,CS FLORIDA AVENUE LLC,1,1701 Florida Ave. NW,WASHINGTON,DC,20009,1930,Self-Storage Facility,Self-Storage Facility,97668,106000.0,,7.9,8.1,16.2,16.2,64.8,0.6000000000000001,,0.2,3510.97984204,0.0,Whole Property,,0.0,0.0,0.0,0.0,141190.1,68002.9,68022.1,42170.0,14151.0,2373.3,0.0,0.0,0.0,41.4,17236.2,54211.1,84890.1,38829.8,37450.1,37988.5,31138.6,39299.6,46596.9,55483.1,54497.4,43383.0,33277.5,29585.4,34210.5,38.91861015,-77.03936602,235649,396586.130254189,138971.916869468,2022-06-05T09:01:31Z,2022-05-04T00:00:00Z,
-77.0393683164059,38.918617940757,446718,PM10362427,2562    0824,10362427,CubeSmart - #106,,,2020,In Compliance,1701 FLORIDA AVE NW,CS FLORIDA AVENUE LLC,1,1701 Florida Ave. NW,WASHINGTON,DC,20009,1930,Self-Storage Facility,Self-Storage Facility,97668,106000.0,,7.9,8.6,15.9,16.7,62.9,0.6000000000000001,,0.1,3827.21464482,0.0,Whole Property,,0.0,0.0,0.0,0.0,134287.6,91562.4,75915.5,45188.7,29663.0,16921.6,944.4,160.4,100.0,98.3,455.0,29641.7,92070.5,34641.9,31522.1,31730.7,27404.3,25021.9,36920.6,59248.9,61114.4,41692.6,32331.3,35737.6,40823.0,38.91861015,-77.03936602,235649,396586.130254189,138971.916869468,2022-06-05T09:01:31Z,2022-05-04T00:00:00Z,
-77.0393683164059,38.918617940757,446719,PM10362427,2562    0824,10362427,CubeSmart - #106,,,2021,In Compliance,1701 FLORIDA AVE NW,CS FLORIDA AVENUE LLC,1,1701 Florida Ave. NW,WASHINGTON,DC,20009,1930,Self-Storage Facility,Self-Storage Facility,97668,106000.0,,8.3,8.6,18.2,18.3,69.7,0.7000000000000001,,63.2,3041.96454958,0.0,Whole Property,,0.0,0.0,0.0,0.0,169019.2,111763.6,81594.0,44195.7,10499.8,2782.2,98.2,101.8,100.0,2191.2,3584.0,9210.3,38075.8,40252.2,41137.4,47625.8,39205.2,42580.4,58283.4,68541.9,67777.2,59280.6,42752.5,34099.4,35157.5,38.91861015,-77.03936602,235649,396586.130254189,138971.916869468,2022-06-05T09:01:31Z,2022-05-04T00:00:00Z,
-76.9757537073356,38.9177862930214,446768,PM10415097,4263    0007,10415097,CubeSmart - #402,,,2019,In Compliance,1850 NEW YORK AVENUE NE,1850 NY AVE SELF STORAGE PARTNERS LLC,5,1850 New York Ave NE,WASHINGTON,DC,20002,2016,Self-Storage Facility,Self-Storage Facility,156771,114200.0,,9.7,9.8,20.8,20.9,88.3,0.8,,0.1,4160.72255018,0.0,Whole Property,,0.0,0.0,0.0,0.0,202833.5,134978.3,99357.1,54262.2,10880.6,539.4,60.6,0.0,0.0,0.0,1832.6,42966.8,71194.6,72380.6,73650.5,57438.6,51498.4,56180.1,55064.1,62490.7,63230.8,52961.8,46610.3,46379.7,54182.6,38.9177785,-76.97575143,308923,402102.89042303,138879.139962813,2022-06-05T09:01:31Z,2022-05-04T00:00:00Z,
-76.9757537073356,38.9177862930214,446769,PM10415097,4263    0007,10415097,CubeSmart - #402,,,2020,In Compliance,1850 NEW YORK AVE NE,1850 NY AVE SELF STORAGE PARTNERS LLC,5,1850 New York Ave NE,WASHINGTON,DC,20002,2016,Self-Storage Facility,Self-Storage Facility,156771,114200.0,,7.7,8.4,17.6,18.4,71.3,0.6000000000000001,,0.0,2498.1675071,0.0,Whole Property,,0.0,0.0,0.0,0.0,183318.1,74799.0,50120.3,22623.6,9935.6,3094.4,291.6,0.0,0.0,0.0,3286.8,25665.9,59999.6,53339.6,45292.5,39096.1,30618.5,38977.5,60016.0,81659.1,77784.8,59834.0,45510.9,42564.1,50788.2,38.9177785,-76.97575143,308923,402102.89042303,138879.139962813,2022-06-05T09:01:31Z,2022-05-04T00:00:00Z,
-76.9757537073356,38.9177862930214,446770,PM10415097,4263    0007,10415097,CubeSmart - #402,,,2021,In Compliance,1850 NEW YORK AVE NE,1850 NY AVE SELF STORAGE PARTNERS LLC,5,1850 New York Ave NE,WASHINGTON,DC,20002,2016,Self-Storage Facility,Self-Storage Facility,156771,114200.0,,6.8,7.0,16.1,16.4,64.5,0.6000000000000001,,26.1,1871.572684,0.0,Whole Property,,0.0,0.0,0.0,0.0,172174.5,73228.6,72120.8,30381.4,2723.2,0.0,0.0,0.0,0.0,0.0,0.0,2898.0,5805.2,55081.8,43832.1,44906.3,34688.8,37953.8,56708.8,73396.3,68081.5,57892.2,43015.0,35597.5,36305.4,38.9177785,-76.97575143,308923,402102.89042303,138879.139962813,2022-06-05T09:01:31Z,2022-05-04T00:00:00Z,
-76.9928748424838,38.9197831026792,446794,PM10497404,3848    0820,10497404,1060 Brentwood,,,2019,In Compliance,1060 BRENTWOOD RD NE,ACADIA BRENTWOOD LLC,5,1060 Brentwood Road NE,WASHINGTON,DC,20018,2002,Strip Mall,Strip Mall,57515,57529.0,,62.4,62.7,128.8,127.5,279.2,4.9,,360.0,15061.10661,0.0,Whole Property,,0.0,0.0,0.0,0.0,609976.9,255472.6,227093.1,179887.9,82940.8,67118.9,56218.8,54424.2,59457.1,53810.4,91812.8,176626.5,201247.7,157596.9,136780.2,136418.6,147214.1,184172.9,209476.3,235636.2,221295.5,202358.9,182098.4,138073.4,130120.0,38.91977531,-76.99287256,302477,400618.090296416,139100.547474662,2022-06-05T09:01:31Z,2022-05-04T00:00:00Z,
-76.9928748424838,38.9197831026792,446795,PM10497404,3848    0820,10497404,1060 Brentwood,,,2020,In Compliance,1060 BRENTWOOD RD NE,ACADIA BRENTWOOD LLC,5,1060 Brentwood Road NE,WASHINGTON,DC,20018,2002,Retail Store,Retail Store,57515,59529.0,79.0,35.8,35.2,100.1,98.4,197.7,3.3,,242.3,11415.90306,0.0,Whole Property,,0.0,0.0,0.0,0.0,623989.9,212019.3,159684.4,95262.0,65715.2,59667.4,47836.3,48082.8,47252.2,51752.7,65289.0,94041.0,194988.0,147289.2,127199.4,173165.8,152134.3,136306.0,178273.6,234489.7,218600.0,222551.1,176369.7,177765.2,184909.9,38.91977531,-76.99287256,302477,400618.090296416,139100.547474662,2022-06-05T09:01:31Z,2022-05-04T00:00:00Z,
-76.9928748424838,38.9197831026792,446796,PM10497404,3848    0820,10497404,1060 Brentwood,,,2021,In Compliance,1060 BRENTWOOD RD NE ,ACADIA BRENTWOOD LLC,5,1060 Brentwood Road NE,WASHINGTON,DC,20018,2002,Retail Store,Retail Store,57515,59529.0,67.0,53.0,54.2,120.2,120.8,254.8,4.3,,912.5,9548.816477,0.0,Whole Property,,0.0,0.0,0.0,0.0,644313.9,209427.7,192144.4,134473.0,80026.9,52340.7,39322.0,3115.0,6640.5,4566.1,15116.6,62763.8,154944.9,190706.9,146569.3,159087.9,183241.5,181944.9,236188.9,192484.6,197926.7,211919.3,174411.2,150527.2,173391.0,38.91977531,-76.99287256,302477,400618.090296416,139100.547474662,2022-06-05T09:01:31Z,2022-05-04T00:00:00Z,
-76.9599158226864,38.929825765634,446825,PM10517231,4335    0070,10517231,East Blade Investors LP Reporting,,,2019,In Compliance,3182 BLADENSBURG ROAD NE,HARRY MINKOFF,5,3172-3182 Bladensburg Rd NE ,WASHINGTON,DC,20018,1966,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,135000,93383.0,,76.6,76.5,143.6,141.7,523.5,5.6,,3067.0,37899.30192,0.0,Whole Property,,0.0,0.0,0.0,0.0,986689.9,312040.1,482919.9,321960.1,340290.0,259990.0,283760.0,231820.0,239570.0,273390.0,267950.0,311270.1,464969.9,141192.0,145402.4,217225.0,242105.3,289880.1,368124.0,370546.7,430331.8,356840.7,308577.9,244483.4,251877.3,38.92981797,-76.95991355,287710,403475.799983985,140216.1073077,2022-06-05T09:01:31Z,2022-05-04T00:00:00Z,
